+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                 clk_core |                 clk_core |swervolf/swerv_eh1/swerv/lsu/dc_ctl/GenStBufWay[3].GenStBufDepthBlock[5].wdc_wr_dirtyff/dffsc/dout_reg[0]/D|
|                 clk_core |                 clk_core |                    swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/lsu_pkt_dc1ff/genblock.dff/dffs/dout_reg[7]/D|
|                 clk_core |                 clk_core |                           swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/rs1ff/genblock.dff/dffs/dout_reg[28]/D|
|                 clk_core |                 clk_core |swervolf/swerv_eh1/swerv/lsu/dc_ctl/GenStBufWay[1].GenStBufDepthBlock[3].wdc_wr_dirtyff/dffsc/dout_reg[0]/D|
|                 clk_core |                 clk_core |                           swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/rs1ff/genblock.dff/dffs/dout_reg[30]/D|
|                 clk_core |                 clk_core |                   swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/lsu_pkt_dc1ff/genblock.dff/dffs/dout_reg[14]/D|
|                 clk_core |                 clk_core |                           swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/rs1ff/genblock.dff/dffs/dout_reg[20]/D|
|                 clk_core |                 clk_core |                           swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/rs1ff/genblock.dff/dffs/dout_reg[31]/D|
|                 clk_core |                 clk_core |                            swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/rs1ff/genblock.dff/dffs/dout_reg[8]/D|
|                 clk_core |                 clk_core |                         swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/offsetff/genblock.dff/dffs/dout_reg[3]/D|
|                 clk_core |                 clk_core |swervolf/swerv_eh1/swerv/lsu/dc_ctl/GenStBufWay[0].GenStBufDepthBlock[6].wdc_wr_dirtyff/dffsc/dout_reg[0]/D|
|                 clk_core |                 clk_core |                           swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/rs1ff/genblock.dff/dffs/dout_reg[16]/D|
|                 clk_core |                 clk_core |                            swervolf/swerv_eh1/swerv/lsu/lsu_lsc_ctl/rs1ff/genblock.dff/dffs/dout_reg[9]/D|
|                 clk_core |                 clk_core |swervolf/swerv_eh1/swerv/lsu/dc_ctl/GenStBufWay[2].GenStBufDepthBlock[5].wdc_wr_dirtyff/dffsc/dout_reg[0]/D|
